,Stadt,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
559,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25.0,8.0,8.0,10.0,26.0,12.0,0.0
560,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",19.0,11.0,5.0,12.0,30.0,15.0,0.0
561,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22.0,10.0,5.0,6.0,31.0,16.0,0.0
562,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24.0,9.0,3.0,8.0,27.0,19.0,0.0
563,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25.0,10.0,5.0,13.0,23.0,15.0,0.0
564,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24.0,9.0,8.0,13.0,22.0,13.0,0.0
565,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",21.0,9.0,6.0,15.0,29.0,12.0,0.0
566,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22.0,11.0,18.0,12.0,12.0,13.0,0.0
567,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",27.0,12.0,8.0,10.0,18.0,16.0,0.0
568,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",27.0,12.0,8.0,10.0,18.0,16.0,0.0
569,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",23.0,12.0,11.0,12.0,12.0,18.0,0.0
570,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25.0,6.0,11.0,10.0,18.0,18.0,0.0
571,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",17.0,12.0,16.0,6.0,17.0,21.0,1.0
572,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",23.0,15.0,4.0,10.0,21.0,20.0,0.0
573,Dresden,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24.0,8.0,7.0,10.0,22.0,18.0,1.0
574,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",17.0,6.0,4.0,8.0,32.0,24.0,0.0
575,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",10.0,10.0,4.0,3.0,36.0,21.0,1.0
576,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",27.0,10.0,2.0,10.0,21.0,19.0,0.0
577,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",18.0,10.0,2.0,10.0,35.0,15.0,0.0
578,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",24.0,11.0,3.0,10.0,28.0,15.0,0.0
579,Dresden,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",16.0,12.0,4.0,5.0,36.0,14.0,0.0
580,Dresden,"13 SÃ´dvorstadt, Zschertnitz",23.0,11.0,12.0,9.0,13.0,21.0,0.0
581,Dresden,"13 SÃ´dvorstadt, Zschertnitz",23.0,9.0,12.0,14.0,9.0,19.0,0.0
582,Dresden,"13 SÃ´dvorstadt, Zschertnitz",23.0,13.0,12.0,11.0,12.0,16.0,0.0
583,Dresden,"13 SÃ´dvorstadt, Zschertnitz",16.0,11.0,7.0,7.0,31.0,18.0,0.0
584,Dresden,"13 SÃ´dvorstadt, Zschertnitz",25.0,12.0,6.0,9.0,19.0,22.0,0.0
585,Dresden,"13 SÃ´dvorstadt, Zschertnitz",20.0,11.0,8.0,10.0,21.0,18.0,0.0
586,Dresden,"13 SÃ´dvorstadt, Zschertnitz",18.0,9.0,9.0,9.0,22.0,22.0,0.0
587,Dresden,"13 SÃ´dvorstadt, Zschertnitz",19.0,10.0,12.0,12.0,19.0,18.0,1.0
588,Dresden,"13 SÃ´dvorstadt, Zschertnitz",22.0,12.0,12.0,10.0,18.0,16.0,1.0
589,Dresden,"13 SÃ´dvorstadt, Zschertnitz",23.0,12.0,13.0,6.0,18.0,21.0,0.0
590,Dresden,"13 SÃ´dvorstadt, Zschertnitz",21.0,13.0,12.0,12.0,12.0,18.0,0.0
591,Dresden,"13 SÃ´dvorstadt, Zschertnitz",24.0,12.0,15.0,14.0,7.0,15.0,1.0
592,Dresden,"13 SÃ´dvorstadt, Zschertnitz",16.0,11.0,7.0,9.0,15.0,26.0,1.0
593,Dresden,"13 SÃ´dvorstadt, Zschertnitz",19.0,13.0,7.0,11.0,23.0,17.0,1.0
594,Dresden,"13 SÃ´dvorstadt, Zschertnitz",22.0,11.0,10.0,13.0,17.0,18.0,0.0
595,Dresden,"13 SÃ´dvorstadt, Zschertnitz",18.0,10.0,9.0,14.0,21.0,17.0,0.0
596,Dresden,"13 SÃ´dvorstadt, Zschertnitz",13.0,13.0,13.0,18.0,5.0,22.0,1.0
597,Dresden,"13 SÃ´dvorstadt, Zschertnitz",28.0,11.0,8.0,11.0,16.0,16.0,0.0
598,Dresden,"13 SÃ´dvorstadt, Zschertnitz",29.0,11.0,5.0,9.0,18.0,18.0,0.0
599,Dresden,"13 SÃ´dvorstadt, Zschertnitz",22.0,10.0,10.0,12.0,20.0,15.0,1.0
600,Dresden,"13 SÃ´dvorstadt, Zschertnitz",19.0,11.0,4.0,9.0,30.0,18.0,1.0
601,Dresden,"13 SÃ´dvorstadt, Zschertnitz",21.0,8.0,3.0,8.0,29.0,20.0,0.0
602,Dresden,"13 SÃ´dvorstadt, Zschertnitz",22.0,11.0,3.0,9.0,29.0,18.0,0.0
603,Dresden,"13 SÃ´dvorstadt, Zschertnitz",17.0,10.0,7.0,8.0,25.0,21.0,0.0
604,Dresden,"13 SÃ´dvorstadt, Zschertnitz",25.0,12.0,5.0,6.0,27.0,18.0,0.0
605,Dresden,"13 SÃ´dvorstadt, Zschertnitz",24.0,9.0,7.0,8.0,24.0,20.0,0.0
606,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",23.0,10.0,3.0,9.0,24.0,19.0,0.0
607,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",32.0,8.0,8.0,9.0,18.0,14.0,0.0
608,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",24.0,10.0,3.0,8.0,32.0,16.0,0.0
609,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",18.0,12.0,4.0,6.0,30.0,20.0,1.0
610,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",21.0,12.0,3.0,7.0,31.0,17.0,0.0
611,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",27.0,5.0,7.0,14.0,29.0,10.0,0.0
612,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",27.0,10.0,7.0,9.0,26.0,13.0,0.0
613,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",26.0,9.0,6.0,10.0,31.0,10.0,0.0
614,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",29.0,12.0,8.0,10.0,18.0,13.0,0.0
615,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",21.0,9.0,5.0,11.0,27.0,17.0,0.0
616,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",28.0,8.0,8.0,13.0,24.0,10.0,0.0
617,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",22.0,8.0,6.0,9.0,33.0,13.0,0.0
618,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",22.0,6.0,4.0,12.0,35.0,13.0,0.0
619,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",25.0,13.0,14.0,11.0,11.0,14.0,1.0
620,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",23.0,12.0,16.0,12.0,8.0,17.0,0.0
621,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",27.0,12.0,15.0,11.0,13.0,14.0,0.0
622,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",20.0,13.0,10.0,12.0,18.0,15.0,0.0
623,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",26.0,10.0,12.0,10.0,17.0,16.0,0.0
624,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",17.0,10.0,10.0,11.0,20.0,20.0,0.0
625,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",23.0,14.0,11.0,9.0,16.0,18.0,0.0
626,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",21.0,11.0,13.0,8.0,14.0,20.0,1.0
627,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",24.0,11.0,12.0,13.0,17.0,15.0,0.0
628,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",26.0,11.0,13.0,9.0,17.0,16.0,0.0
629,Dresden,"14 Mockritz, CoschÃ´tz, Plauen",26.0,16.0,11.0,10.0,18.0,13.0,0.0
630,Dresden,17 Briesnitz und westliche OS,28.0,7.0,6.0,11.0,23.0,13.0,0.0
631,Dresden,17 Briesnitz und westliche OS,23.0,9.0,3.0,8.0,33.0,13.0,0.0
632,Dresden,17 Briesnitz und westliche OS,24.0,9.0,4.0,12.0,33.0,9.0,1.0
633,Dresden,17 Briesnitz und westliche OS,22.0,7.0,6.0,12.0,35.0,11.0,0.0
634,Dresden,17 Briesnitz und westliche OS,26.0,9.0,4.0,9.0,32.0,12.0,0.0
635,Dresden,17 Briesnitz und westliche OS,30.0,7.0,6.0,8.0,28.0,14.0,0.0
636,Dresden,17 Briesnitz und westliche OS,23.0,9.0,3.0,7.0,36.0,13.0,1.0
637,Dresden,17 Briesnitz und westliche OS,25.0,9.0,5.0,10.0,35.0,9.0,0.0
638,Dresden,17 Briesnitz und westliche OS,32.0,5.0,3.0,8.0,37.0,9.0,0.0
639,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",27.0,11.0,7.0,9.0,17.0,17.0,0.0
640,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",28.0,10.0,7.0,9.0,16.0,16.0,1.0
641,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",17.0,10.0,8.0,9.0,30.0,13.0,0.0
642,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",20.0,10.0,6.0,10.0,28.0,14.0,0.0
643,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",21.0,9.0,6.0,9.0,28.0,15.0,0.0
644,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",18.0,10.0,7.0,9.0,25.0,17.0,1.0
645,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",19.0,12.0,3.0,8.0,31.0,17.0,0.0
646,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",17.0,11.0,6.0,10.0,28.0,17.0,1.0
647,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",18.0,11.0,5.0,11.0,25.0,18.0,1.0
648,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",22.0,13.0,14.0,10.0,10.0,18.0,1.0
649,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",22.0,9.0,12.0,11.0,12.0,19.0,1.0
650,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",17.0,10.0,11.0,10.0,16.0,20.0,1.0
651,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",18.0,12.0,8.0,10.0,21.0,16.0,1.0
652,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",17.0,9.0,10.0,9.0,19.0,21.0,1.0
653,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",18.0,9.0,10.0,9.0,24.0,19.0,1.0
654,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",19.0,11.0,10.0,9.0,17.0,22.0,0.0
655,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",22.0,12.0,17.0,10.0,8.0,15.0,0.0
656,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",22.0,10.0,17.0,8.0,10.0,19.0,1.0
657,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",23.0,13.0,14.0,9.0,10.0,16.0,1.0
658,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",18.0,10.0,9.0,11.0,18.0,23.0,0.0
659,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",17.0,12.0,10.0,10.0,21.0,19.0,0.0
660,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",20.0,11.0,12.0,11.0,17.0,16.0,1.0
661,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",19.0,10.0,11.0,9.0,17.0,21.0,1.0
662,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",22.0,10.0,11.0,9.0,21.0,16.0,1.0
663,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",17.0,11.0,10.0,9.0,21.0,18.0,1.0
664,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",21.0,9.0,12.0,10.0,16.0,20.0,1.0
665,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",27.0,9.0,8.0,9.0,18.0,17.0,0.0
666,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",29.0,12.0,7.0,11.0,18.0,12.0,0.0
667,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",20.0,11.0,5.0,7.0,28.0,18.0,1.0
668,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",20.0,11.0,4.0,8.0,33.0,13.0,0.0
669,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",23.0,8.0,5.0,6.0,29.0,16.0,0.0
670,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",25.0,7.0,5.0,13.0,30.0,11.0,0.0
671,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",25.0,9.0,7.0,11.0,24.0,16.0,0.0
672,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",27.0,10.0,7.0,11.0,23.0,13.0,1.0
673,Dresden,"15 Cotta, L_btau, Nau_litz, D_lzschen",20.0,9.0,6.0,10.0,33.0,13.0,0.0
674,Dresden,16 Gorbitz,25.0,10.0,3.0,8.0,26.0,19.0,0.0
675,Dresden,16 Gorbitz,16.0,9.0,2.0,4.0,37.0,19.0,0.0
676,Dresden,16 Gorbitz,16.0,9.0,3.0,3.0,39.0,16.0,0.0
677,Dresden,16 Gorbitz,27.0,13.0,1.0,3.0,27.0,19.0,0.0
678,Dresden,16 Gorbitz,16.0,8.0,2.0,8.0,39.0,13.0,1.0
679,Dresden,16 Gorbitz,15.0,8.0,2.0,3.0,43.0,15.0,0.0
680,Dresden,16 Gorbitz,28.0,10.0,5.0,7.0,19.0,21.0,0.0
681,Dresden,16 Gorbitz,17.0,9.0,3.0,8.0,33.0,20.0,1.0
682,Dresden,16 Gorbitz,18.0,7.0,3.0,6.0,35.0,18.0,0.0
683,Dresden,16 Gorbitz,14.0,9.0,2.0,6.0,40.0,17.0,1.0
684,Dresden,16 Gorbitz,23.0,12.0,4.0,6.0,22.0,22.0,1.0
685,Dresden,16 Gorbitz,17.0,10.0,4.0,5.0,36.0,17.0,0.0
686,Dresden,16 Gorbitz,16.0,9.0,2.0,7.0,37.0,16.0,0.0
687,Dresden,16 Gorbitz,18.0,10.0,2.0,4.0,37.0,19.0,1.0
688,Dresden,17 Briesnitz und westliche OS,29.0,8.0,5.0,9.0,25.0,13.0,0.0
689,Dresden,17 Briesnitz und westliche OS,27.0,8.0,7.0,12.0,21.0,15.0,0.0
690,Dresden,17 Briesnitz und westliche OS,24.0,7.0,5.0,10.0,32.0,13.0,0.0
691,Dresden,17 Briesnitz und westliche OS,22.0,10.0,5.0,8.0,34.0,13.0,0.0
692,Dresden,17 Briesnitz und westliche OS,25.0,8.0,4.0,10.0,33.0,12.0,1.0
693,Dresden,17 Briesnitz und westliche OS,23.0,10.0,5.0,9.0,27.0,13.0,1.0
694,Dresden,17 Briesnitz und westliche OS,17.0,7.0,5.0,10.0,34.0,16.0,1.0
695,Dresden,17 Briesnitz und westliche OS,24.0,9.0,7.0,8.0,29.0,15.0,0.0
696,Dresden,17 Briesnitz und westliche OS,24.0,8.0,7.0,9.0,30.0,12.0,0.0
697,Dresden,17 Briesnitz und westliche OS,32.0,7.0,3.0,10.0,26.0,12.0,0.0
698,Dresden,17 Briesnitz und westliche OS,27.0,8.0,5.0,10.0,29.0,10.0,0.0
699,Dresden,17 Briesnitz und westliche OS,25.0,9.0,2.0,11.0,35.0,10.0,0.0
700,Dresden,17 Briesnitz und westliche OS,28.0,7.0,2.0,14.0,31.0,13.0,0.0
