,Jahr,Wahlart,Wahlbezirk,Stadtteil zus.,Stadtraum,Stadtbezirk mit zugeordneten Ortschaften,Wahl-Form,Wahlberechtigte,Wahlberechtigte mit WS,W_hler,W_hler mit WS,Stimmen gôltig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grône,Stimmen FDP,Stimmen Rechte Parteien,Stimmen AfD,Stimmen Piraten,Stimmen sonstiger Parteien,Stimmen ungôltig
63,2017,Bundestagswahl,12001,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,585,585,582,143,62,123,129,44,2,41,7,31,3
64,2017,Bundestagswahl,12002,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,1133,1133,1129,280,130,213,153,116,0,149,15,73,4
65,2017,Bundestagswahl,12100,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,949,293,557,5,554,99,59,123,132,42,0,61,8,30,3
66,2017,Bundestagswahl,12201,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1085,316,668,2,667,141,69,121,125,73,0,90,10,38,1
67,2017,Bundestagswahl,12202,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1127,381,606,3,603,146,64,108,95,58,2,99,3,28,3
68,2017,Bundestagswahl,12301,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1097,320,587,2,583,121,57,123,69,65,2,92,7,47,4
69,2017,Bundestagswahl,12302,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,875,265,490,2,486,109,34,104,56,64,0,80,2,37,4
70,2017,Bundestagswahl,12400,12 Radeberger Vorstadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1362,210,724,1,709,119,56,181,47,49,11,176,11,59,15
71,2017,Bundestagswahl,13001,13 Innere Neustadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,779,779,772,181,90,190,94,73,4,86,8,46,7
72,2017,Bundestagswahl,13002,13 Innere Neustadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Brief,0,0,945,945,942,258,101,169,190,91,1,71,9,52,3
73,2017,Bundestagswahl,13100,13 Innere Neustadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1351,454,686,5,682,135,81,128,100,79,1,94,12,52,4
74,2017,Bundestagswahl,13200,13 Innere Neustadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1194,364,569,2,561,142,76,129,21,36,2,118,7,30,8
75,2017,Bundestagswahl,13300,13 Innere Neustadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1333,389,728,8,724,111,79,184,120,72,7,74,9,68,4
76,2017,Bundestagswahl,13400,13 Innere Neustadt,03 StB Neustadt ohne Leipziger Vorstadt,StB 1 Neustadt,Wahlbezirk_Urne,1665,589,798,3,795,161,96,201,106,59,1,107,9,55,3
77,2017,Bundestagswahl,14001,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Brief,0,0,1225,1225,1219,162,110,399,262,75,3,45,17,146,6
78,2017,Bundestagswahl,14002,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Brief,0,0,603,603,601,76,65,172,148,25,0,38,11,66,2
79,2017,Bundestagswahl,14003,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Brief,0,0,593,593,585,121,59,122,95,40,3,85,11,49,8
80,2017,Bundestagswahl,14100,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Urne,960,253,518,2,514,58,48,163,64,26,3,87,5,60,4
81,2017,Bundestagswahl,14200,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Urne,1695,475,943,7,935,78,86,359,167,52,2,73,14,104,8
82,2017,Bundestagswahl,14300,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Urne,1735,552,943,4,935,77,86,340,178,40,4,52,19,139,8
83,2017,Bundestagswahl,14401,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Urne,1271,324,757,9,752,77,61,252,148,25,2,59,15,113,5
84,2017,Bundestagswahl,14402,14 Leipziger Vorstadt,"04 Leipziger Vorstadt, Pieschen",StB 1 Neustadt,Wahlbezirk_Urne,1209,312,749,4,745,90,76,238,160,41,3,49,7,81,4
