Stadt,Jahr,Wahlart,Kolumna1,Stadtteil zus.,Wahlberechtigte,Wahlberechtigte mit WS,Wähler,Wähler mit WS,Stimmen gültig,Stimmen CDU,Stimmen SPD,Stimmen Die Linke,Stimmen Grüne,Stimmen FDP,Stimmen AfD,Stimmen Piraten,Stimmen ungültig
Dresden,2017,Bundestagswahl,,35 Weixdorf,1208,208,822,3,812,181,70,97,55,105,249,6,10
Dresden,2017,Bundestagswahl,,35 Weixdorf,976,199,615,2,603,178,44,59,26,72,203,1,12
Dresden,2017,Bundestagswahl,,35 Weixdorf,217,21,137,0,137,38,7,21,3,15,43,1,0
Dresden,2017,Bundestagswahl,,36 Langebrück/Schönborn,0,0,735,735,731,213,75,104,72,96,126,5,4
Dresden,2017,Bundestagswahl,,36 Langebrück/Schönborn,973,182,662,2,658,179,68,69,37,63,204,2,4
Dresden,2017,Bundestagswahl,,36 Langebrück/Schönborn,1287,278,814,2,812,211,78,106,75,119,172,4,2
Dresden,2017,Bundestagswahl,,36 Langebrück/Schönborn,792,249,468,3,466,110,49,71,41,54,124,0,2
Dresden,2017,Bundestagswahl,,36 Langebrück/Schönborn,385,54,290,1,286,66,19,40,15,25,101,2,4
Dresden,2017,Bundestagswahl,,41 Loschwitz/Wachwitz,0,0,750,750,748,220,67,101,108,125,100,0,2
Dresden,2017,Bundestagswahl,,41 Loschwitz/Wachwitz,0,0,654,654,652,209,58,78,68,123,94,1,2
Dresden,2017,Bundestagswahl,,41 Loschwitz/Wachwitz,1329,433,748,0,745,167,63,106,97,122,157,1,3
Dresden,2017,Bundestagswahl,,41 Loschwitz/Wachwitz,1207,346,721,5,713,229,73,99,80,87,114,3,8
Dresden,2017,Bundestagswahl,,41 Loschwitz/Wachwitz,818,297,446,0,443,114,43,42,64,77,86,1,3
Dresden,2017,Bundestagswahl,,41 Loschwitz/Wachwitz,1055,393,541,4,538,115,37,77,73,74,135,4,3
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,0,0,814,814,811,269,74,113,112,107,93,4,3
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,0,0,618,618,613,192,83,88,63,64,84,3,5
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,0,0,906,906,904,305,75,125,90,110,150,2,2
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,1449,423,877,7,869,248,93,136,112,114,115,4,8
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,1428,436,836,4,829,217,75,108,124,107,158,5,7
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,1227,350,705,3,700,198,78,93,75,83,131,4,5
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,1160,288,749,2,742,219,74,110,65,61,174,3,7
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,1009,281,597,1,595,174,48,72,65,68,143,1,2
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,1150,304,690,7,685,166,57,100,58,84,184,3,5
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,730,176,470,2,469,143,47,62,47,42,103,3,1
Dresden,2017,Bundestagswahl,,42 Bühlau/Weißer Hirsch,690,180,387,4,382,99,32,67,36,50,82,2,5
Dresden,2017,Bundestagswahl,,43 Hosterwitz/Pillnitz,0,0,681,681,678,195,77,92,86,65,135,0,3
Dresden,2017,Bundestagswahl,,43 Hosterwitz/Pillnitz,520,131,317,1,315,65,18,46,34,45,93,0,2
Dresden,2017,Bundestagswahl,,43 Hosterwitz/Pillnitz,1496,417,871,3,864,188,94,103,87,96,244,3,7
Dresden,2017,Bundestagswahl,,43 Hosterwitz/Pillnitz,743,172,462,6,455,106,46,69,29,37,142,2,7
Dresden,2017,Bundestagswahl,,45 Weißig,0,0,920,920,918,311,78,123,60,103,178,7,2
Dresden,2017,Bundestagswahl,,45 Weißig,1022,212,689,0,687,201,75,84,43,82,174,2,2
Dresden,2017,Bundestagswahl,,45 Weißig,1067,201,631,1,623,174,66,64,18,51,217,4,8
Dresden,2017,Bundestagswahl,,45 Weißig,1129,197,589,1,584,143,62,85,24,50,175,3,5
Dresden,2017,Bundestagswahl,,45 Weißig,820,185,520,2,511,142,42,57,32,64,148,2,9
Dresden,2017,Bundestagswahl,,45 Weißig,581,152,347,4,345,111,29,31,23,37,94,2,2
Dresden,2017,Bundestagswahl,,46 Gönnsdorf/Pappritz,0,0,758,758,757,260,59,66,67,121,147,5,1
Dresden,2017,Bundestagswahl,,46 Gönnsdorf/Pappritz,847,232,533,1,528,159,48,56,31,93,122,1,5
Dresden,2017,Bundestagswahl,,46 Gönnsdorf/Pappritz,852,208,558,1,551,132,41,63,21,79,181,1,7
Dresden,2017,Bundestagswahl,,46 Gönnsdorf/Pappritz,699,175,448,0,445,118,51,62,28,62,104,1,3
Dresden,2017,Bundestagswahl,,46 Gönnsdorf/Pappritz,751,169,474,0,468,114,33,45,27,60,161,4,6
Dresden,2017,Bundestagswahl,,47 Schönfeld/Schullwitz,0,0,539,539,539,165,32,64,35,76,131,1,0
Dresden,2017,Bundestagswahl,,47 Schönfeld/Schullwitz,994,210,598,1,592,180,45,60,34,63,178,1,6
Dresden,2017,Bundestagswahl,,47 Schönfeld/Schullwitz,1078,253,619,0,613,156,40,55,16,60,260,0,6
Dresden,2017,Bundestagswahl,,47 Schönfeld/Schullwitz,551,102,337,1,332,89,19,31,24,37,116,0,5
Dresden,2017,Bundestagswahl,,51 Blasewitz,0,0,1172,1172,1171,384,130,169,111,165,164,0,1
Dresden,2017,Bundestagswahl,,51 Blasewitz,0,0,1000,1000,998,323,115,158,115,105,127,3,2
Dresden,2017,Bundestagswahl,,51 Blasewitz,1360,440,763,10,760,218,73,106,74,102,145,4,3
Dresden,2017,Bundestagswahl,,51 Blasewitz,1566,446,860,7,848,266,97,105,83,118,136,7,12
Dresden,2017,Bundestagswahl,,51 Blasewitz,1136,337,670,3,663,188,61,86,65,94,131,3,7
Dresden,2017,Bundestagswahl,,51 Blasewitz,1231,351,720,2,718,156,79,116,103,87,133,4,2
Dresden,2017,Bundestagswahl,,51 Blasewitz,1193,298,797,0,790,212,82,117,90,96,154,1,7
Dresden,2017,Bundestagswahl,,51 Blasewitz,1477,378,864,1,857,207,72,143,123,89,163,9,7
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,0,0,1264,1264,1260,380,138,173,178,144,162,7,4
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,0,0,799,799,797,219,87,107,159,99,75,6,2
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,0,0,998,998,994,296,85,147,175,108,100,6,4
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1135,357,695,2,690,169,79,89,150,89,82,2,5
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1334,369,845,5,841,198,92,134,145,105,118,6,4
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1488,463,880,5,876,219,99,153,170,78,121,5,4
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1394,402,862,2,861,235,90,127,118,106,126,3,1
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1465,428,878,1,873,201,107,111,117,119,162,5,5
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,898,262,541,0,540,135,53,74,87,78,85,4,1
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1232,333,733,4,732,181,74,105,96,76,144,6,1
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1070,230,568,3,554,147,64,98,53,59,105,3,14
Dresden,2017,Bundestagswahl,,52 Striesen-Ost,1272,321,691,1,685,187,77,87,51,76,167,3,6
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,0,0,1090,1090,1088,299,140,183,106,117,165,2,2
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,0,0,767,767,761,224,113,132,54,75,130,2,6
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,0,0,515,515,513,145,63,90,45,45,84,3,2
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,1089,339,668,6,663,181,79,101,80,80,108,2,5
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,976,279,507,1,504,109,56,95,59,50,100,4,3
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,1784,526,844,4,833,156,72,192,57,89,209,10,11
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,1395,343,808,1,798,192,116,139,32,69,215,2,10
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,1381,462,679,1,673,161,78,111,47,82,157,3,6
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,1200,295,625,6,620,118,56,105,43,64,185,1,5
Dresden,2017,Bundestagswahl,,53 Striesen-Süd,1042,247,574,3,566,127,53,113,50,60,120,7,8
Dresden,2017,Bundestagswahl,,54 Striesen-West,0,0,876,876,874,296,100,139,89,88,103,5,2
Dresden,2017,Bundestagswahl,,54 Striesen-West,0,0,1054,1054,1047,290,122,168,95,125,168,12,7
Dresden,2017,Bundestagswahl,,54 Striesen-West,0,0,794,794,792,238,82,133,79,86,122,6,2
Dresden,2017,Bundestagswahl,,54 Striesen-West,1716,485,963,3,950,230,129,156,96,96,178,14,13
