,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
80,"04 Leipziger Vorstadt, Pieschen",11,9,12,5,16,31,0
81,"04 Leipziger Vorstadt, Pieschen",8,9,17,5,7,38,1
82,"04 Leipziger Vorstadt, Pieschen",8,9,19,4,5,36,2
83,"04 Leipziger Vorstadt, Pieschen",10,8,19,3,7,33,1
84,"04 Leipziger Vorstadt, Pieschen",12,10,21,5,6,31,0
85,"04 Leipziger Vorstadt, Pieschen",14,9,17,7,13,25,1
86,"04 Leipziger Vorstadt, Pieschen",22,9,6,8,27,19,1
87,03 StB Neustadt ohne Leipziger Vorstadt,23,8,14,14,14,17,0
88,03 StB Neustadt ohne Leipziger Vorstadt,24,10,16,8,12,18,1
89,03 StB Neustadt ohne Leipziger Vorstadt,21,10,13,7,18,19,0
90,"04 Leipziger Vorstadt, Pieschen",20,8,17,7,10,23,0
91,"04 Leipziger Vorstadt, Pieschen",19,8,15,9,11,24,0
92,"04 Leipziger Vorstadt, Pieschen",13,8,15,7,11,29,1
93,"04 Leipziger Vorstadt, Pieschen",14,9,10,8,20,25,2
94,"04 Leipziger Vorstadt, Pieschen",19,10,12,7,17,20,1
95,"04 Leipziger Vorstadt, Pieschen",13,10,14,6,18,22,2
96,"04 Leipziger Vorstadt, Pieschen",16,10,13,4,19,23,1
97,"04 Leipziger Vorstadt, Pieschen",16,8,12,7,22,21,1
98,"05 Mickten, Kaditz, Trachau",26,9,8,8,18,17,1
99,"05 Mickten, Kaditz, Trachau",26,8,7,9,21,16,0
100,"05 Mickten, Kaditz, Trachau",18,10,8,6,25,21,0
101,"05 Mickten, Kaditz, Trachau",18,10,4,7,30,17,1
102,"05 Mickten, Kaditz, Trachau",20,8,4,6,25,21,1
103,"05 Mickten, Kaditz, Trachau",20,10,1,7,33,16,0
104,"05 Mickten, Kaditz, Trachau",23,7,4,10,31,14,0
105,"05 Mickten, Kaditz, Trachau",19,9,7,8,24,17,0
